x	y	label
4.45770605253274	0.800046265753151	2
7.97520373492592	5.66565034204536	1
11.0156650519876	5.94729142700733	1
11.2260289542454	3.71793747937428	3
7.03224157862838	-0.0639256171822329	2
7.52541417067631	1.37235593248177	2
7.89693035387993	5.05343831318832	1
6.65540839070088	1.43014397517352	2
6.28764871838948	0.130174745703912	2
7.08846321418351	0.454449858713694	2
10.5035646138334	7.75618832041769	1
14.9704517882777	9.28417626865274	1
6.12562638340735	1.05605945511841	2
6.38696391795687	-1.09467017002104	2
13.5372481305829	7.81274835069353	1
8.16725113047747	0.93102601891529	2
6.40656638905808	1.70746662770853	2
5.96988450541828	1.66471855091789	2
12.846052377683	4.30863387803486	3
7.36223486775839	2.25582930167353	2
8.02491908491162	5.05253561525677	1
8.35464527607365	5.22691012465585	1
11.0466227496231	8.32077726948343	1
8.68067913226525	7.46784535876751	1
5.222818961232	1.50286030943631	2
6.17320643909329	-0.856859644805434	2
3.17848663453585	3.91112285612533	1
8.38733718642393	5.95109556936294	1
9.89163744202597	6.88502620206107	1
7.98646902820582	2.28300441224956	2
4.75952220403291	4.68516339822107	1
6.75045050697738	0.757306354586816	2
2.85820785651571	2.84727370546315	1
6.95936961962107	2.60740352495926	2
6.00473599992733	2.30923902144059	2
6.1394491815592	6.06417076076624	1
6.65026787336429	0.0241771718390182	2
4.51798308020072	0.568492506957261	2
6.31685050682587	-0.34832291914584	2
6.2805498411947	0.938566063530532	2
6.60817620298295	-0.26018294864058	2
7.49851469827168	1.84589455636284	2
10.9079723673218	2.8597008724283	3
6.57789720029754	-0.830650940476924	2
6.27621121660558	4.95065807980338	1
6.76485990543401	1.29372970028674	2
13.3724080396457	6.50842792496554	1
2.76621950117181	3.91393946062034	1
6.46585098695378	2.11996312905406	2
14.8413402987707	9.12550013857327	1
11.5557360978814	2.5700198684576	3
7.33603018884254	5.63143400822636	1
7.88146425152503	1.6201500556955	2
10.8283847703275	4.61481082486442	3
21.0280678388491	11.382260988692	1
3.81014508352672	4.33787322350965	1
9.35664227696075	-1.59112059522418	2
13.0558382326322	7.78889299680742	1
8.43337075946299	6.37119249870835	1
7.09932479986618	0.843690762563561	2
